Latitude,Longtitude,KF_Latitude,KF_Longtitude,Speed,Angle,X_Error,Y_Error,Time
51.038214,13.743711833,51.03815121117945,13.743873846440362,0.0,275.1944289077348,15.521,15.452,13.411712646484375
51.038214,13.743711833,51.03815121117945,13.743873846440362,0.0,275.1944289077348,15.521,15.452,13.411712646484375
51.038214,13.743711833,51.03816146971391,13.743849252039329,0.0,277.4873881971437,15.521,15.452,0.012336492538452148
51.038214,13.743711833,51.03816146971391,13.743849252039329,0.0,277.4873881971437,15.521,15.452,0.012336492538452148
51.038214,13.743711833,51.038170416846526,13.743826990235293,0.0,277.4873881971437,15.521,15.452,0.010880708694458008
51.038214,13.743711833,51.038170416846526,13.743826990235293,0.0,277.4873881971437,15.521,15.452,0.010880708694458008
51.038214,13.743711833,51.03817804709032,13.74380751727399,0.0,277.4873881971437,15.521,15.452,0.010478496551513672
51.038214,13.743711833,51.03817804709032,13.74380751727399,0.0,277.4873881971437,15.521,15.452,0.010478496551513672
51.038214,13.743711833,51.03818445724861,13.743790870880815,0.0,277.4873881971437,15.521,15.452,0.010536909103393555
51.038214,13.743711833,51.03818445724861,13.743790870880815,0.0,277.4873881971437,15.521,15.452,0.010536909103393555
51.038214,13.743711833,51.038189788612335,13.743776858721374,0.0,274.3371631879937,15.521,15.452,0.010344743728637695
51.038214,13.743711833,51.038189788612335,13.743776858721374,0.0,274.3371631879937,15.521,15.452,0.010344743728637695
51.038214,13.743711833,51.03819419312429,13.743765185309458,0.0,274.3371631879937,15.521,15.452,0.00990748405456543
51.038214,13.743711833,51.03819419312429,13.743765185309458,0.0,274.3371631879937,15.521,15.452,0.00990748405456543
51.038214,13.743711833,51.0381978157023,13.743755527348203,0.0,274.3371631879937,15.521,15.452,0.010039091110229492
51.038214,13.743711833,51.0381978157023,13.743755527348203,0.0,274.3371631879937,15.521,15.452,0.010039091110229492
51.038214,13.743711833,51.038200786316324,13.74374757371328,0.0,274.3371631879937,15.521,15.452,0.00974583625793457
51.038214,13.743711833,51.038200786316324,13.74374757371328,0.0,274.3371631879937,15.521,15.452,0.00974583625793457
